filename,length,zero_crossing_rate_mean,harmony_mean,perceptr_mean,perceptr_var,tempo,label,,,,,,,,,,
metal.00068.wav,661504,0.130701,-0.00055,-0.00172,0.002982,161.499,metal,,,,,,,,,,
metal.00039.wav,661504,0.088235,-1.14E-05,-0.00024,0.001379,117.4538,metal,,,,,,,,,,
hiphop.00011.wav,661794,0.094151,-3.05E-05,-0.00115,0.012436,135.9992,hiphop,,,,,,,,,,
rock.00070.wav,661794,0.139119,-0.00227,-0.00065,0.000897,172.2656,rock,,,,,,,,,,
jazz.00021.wav,661794,0.181372,3.97E-05,0.000313,0.000582,123.0469,jazz,,,,,,,,,,
disco.00054.wav,661504,0.114603,-3.56E-06,-0.00012,0.0012,112.3471,disco,,,,,,,,,,
pop.00076.wav,661504,0.142741,-1.19E-05,0.000101,0.017313,215.332,pop,,,,,,,,,,
reggae.00095.wav,661504,0.103169,-6.68E-06,-8.80E-05,0.008806,123.0469,reggae,,,,,,,,,,
hiphop.00053.wav,661794,0.107077,-5.25E-06,-1.45E-05,0.003759,107.666,hiphop,,,,,,,,,,
reggae.00014.wav,661794,0.064091,-0.00294,-0.00275,0.003538,129.1992,reggae,,,,,,,,,,
classical.00070.wav,661794,0.070838,-0.00018,-0.00019,2.94E-05,161.499,classical,,,,,,,,,,
rock.00003.wav,661794,0.043099,4.48E-05,-7.43E-05,0.00518,95.70313,rock,,,,,,,,,,
disco.00082.wav,661504,0.138198,-0.00019,-5.76E-05,0.020642,123.0469,disco,,,,,,,,,,
blues.00033.wav,661794,0.041974,5.59E-06,-3.11E-06,0.000993,151.9991,blues,,,,,,,,,,
disco.00050.wav,661504,0.12874,-2.13E-07,7.07E-05,0.007515,107.666,disco,,,,,,,,,,
pop.00026.wav,661504,0.103494,3.02E-06,6.23E-05,0.011617,75.99954,pop,,,,,,,,,,
jazz.00068.wav,661794,0.061204,-0.00103,-0.00068,0.001634,73.82813,jazz,,,,,,,,,,
disco.00081.wav,661504,0.116402,-4.58E-07,3.62E-07,0.003668,86.13281,disco,,,,,,,,,,
classical.00013.wav,661794,0.080876,-3.17E-06,-1.16E-05,7.52E-05,129.1992,classical,,,,,,,,,,
classical.00060.wav,661794,0.10402,-0.00094,-0.00064,0.000529,123.0469,classical,,,,,,,,,,
pop.00053.wav,661504,0.106928,-1.31E-05,-3.82E-05,0.007738,161.499,pop,,,,,,,,,,
pop.00028.wav,661504,0.121207,3.73E-06,-1.06E-05,0.011235,99.38401,pop,,,,,,,,,,
metal.00060.wav,661794,0.139485,-4.23E-05,-0.00101,0.003401,89.10291,metal,,,,,,,,,,
country.00087.wav,661794,0.07396,8.13E-07,-2.23E-05,0.002496,143.5547,country,,,,,,,,,,
pop.00057.wav,661504,0.154059,-1.46E-07,-0.00013,0.029989,103.3594,pop,,,,,,,,,,
classical.00049.wav,661408,0.109446,-0.00061,-0.001,0.001327,103.3594,classical,,,,,,,,,,
jazz.00024.wav,661794,0.093223,4.28E-05,0.000333,0.000872,103.3594,jazz,,,,,,,,,,
jazz.00092.wav,661794,0.075477,-2.57E-05,-0.00017,6.06E-05,117.4538,jazz,,,,,,,,,,
jazz.00058.wav,661794,0.0996,0.000121,0.000385,0.001867,123.0469,jazz,,,,,,,,,,
classical.00061.wav,661794,0.076105,-0.00059,-0.00057,0.00021,151.9991,classical,,,,,,,,,,
